polygon_id,year,hab_type
1,2001,91E0_vc
2,1992,2130_had
3,1995,1310;3160
4,2002,9130_end
5,2018,rbbah;2130_had;3270
6,2003,1330
7,1996,rbbmr;1310_pol
8,2016,6430_mr;2330_bu
9,1992,3270
10,2013,rbbzil;6510;rbbzil;rbbvos+
11,2004,7110;6510_hus
12,2014,rbbhc;6510_hua
13,2005,6430_hw
14,2020,9120
15,2015,6430;7140
16,1999,2190_mp
17,1997,rbbsg;6230_ha
18,2003,6410_ve
19,2010,rbbhf;2190_a
20,2006,rbbsf
21,1999,7220;91E0_vc
22,2000,9150
23,2005,rbbha;9190
24,2015,1310_zv
25,2013,6210_sk
26,2001,2310;rbbvos
27,2020,6410
28,2013,7230;1310_zk
29,1999,rbbppm
30,1999,1140;6410_mo
31,2005,1330_da
32,2016,2190;2130_hd
33,1999,7140_oli
34,2000,1320;1310_zv
35,2001,1330_hpr
36,2005,2330_dw
37,2007,5130_hei
38,2008,6510_hus
39,2009,6230_hmo
40,2020,6230_hn
