ID_glob	ID_case	Case	Name	Year	Entity	Type of document	To implement at level	Area of interest	UGBI Directly or indirectly mentioned	mentioned_num	UGBI central to approach	UGBI_lev_centr	Concept defined	Definition(s)
1	1	"Coimbra, PT"	Law Decree 166/2008 REN (National Ecological Reserve)	2008	MAOTDR	Law / Decree	Municipal / Local	Nature protection	Indirectly	1	Partially relevant	2	Yes	"REN - a biophysical structure that integrates all the areas that, due to their ecological value and sensitivity or exposure and susceptibility to natural hazards, are subject to special protection.  
Environmental Services and Goods which are indispensable for the development of human activities. "
2	2	"Coimbra, PT"	"Norm 216-B/2008 Dimensioning of areas set aside for Green Spaces, Urban equipment and infrastructures "	2008	MAOTDR	Norms	Municipal / Local	Land use planning	Indirectly	1	Partially relevant	2	No	"Green and Collective Spaces - Free spaces, understood as outdoor spaces, fitting within the urban green structure, lending themselves to less conditioned use, spontaneous behavior and a relaxed stay by the users. It includes gardens, open-air sports facilities and squares, excluding private public places in single or double family houses."
3	3	"Coimbra, PT"	Law 60/2007 REGEU (Legal Regime for Urbanization and Building)	2007	MEPAT	Law / Decree	Municipal / Local	Land use planning	Indirectly	1	Partially relevant	2	No	-
4	4	"Coimbra, PT"	Law 48 /98 Spatial Planning and Urbanism Policy	1998	AR	Law / Decree	Multi-level	Land use planning	n.a.	0	n.a.	0	n.a.	-
5	5	"Coimbra, PT"	Decree 324/XIII (based on the Law Proposal nß 148/XIII) National Programme on Spatial Planning Policy (1st revision of the Law 58/2007) (PNPOT)	2019	AR	Strategic document	Multi-level	Land use planning	Directly	2	Strongly relevant	3	No	-
6	6	"Coimbra, PT"	Resolution of the Council of Ministers 61/2015 Sustainable Cities 2020	2015	PCM	Strategic document	Municipal / Local	Land use planning	Directly	2	Partially relevant	2	No	-
7	7	"Coimbra, PT"	Resolution of the Council of Ministers 55/2018 National Strategy for Nature Conservation and Biodiversity for 2030	2018	PCM	Strategic document	Multi-level	Nature protection	Directly	2	Partially relevant	2	No	"on Ecosystem Services: Ecosystems provide a wide range of direct and indirect benefits. Forests, agricultural and agroforestry spaces, wetlands, rivers, lakes and oceans provide a wide variety of products (food, water, raw materials) that underlie the development of human societies. Beyond this provisioning function, ecosystems play a unique role in regulating the different natural cycles (water, air and other natural and genetic resources essential to life) and have an increasingly appreciated and mobilizing cultural value."
8	8	"Coimbra, PT"	Law Decree 80/2015 Legal Regime of Territorial Management Instruments	2015	MAOTE	Law / Decree	Multi-level	Land use planning	Indirectly	1	Partially relevant	2	No	-
9	9	"Coimbra, PT"	"Law 31/2014 General Law of Public Soil Policy, Land Use Planning and Urbanism"	2014	AR	Law / Decree	Multi-level	Land use planning	Indirectly	1	Partially relevant	2	No	-
10	10	"Coimbra, PT"	Law Decree 307/2009 Urban Rehabilitation Legal Regime	2009	MAOTDR	Law / Decree	Intermunicipal	Land use planning	Indirectly	1	Partially relevant	2	No	-
11	11	"Coimbra, PT"	Regulatory Decree 9/2009 Technical Concepts in the Areas of Spatial Planning and Urbanism	2009	MAOTDR	Norms	Municipal / Local	Land use planning	Indirectly	1	Partially relevant	2	No	"Green spaces for collective use are areas of land within the municipal or urban ecological structure that, in addition to the functions of protection and environmental and landscape enhancement, are intended for use by citizens in activities of stay, recreation and outdoor leisure.
The municipal ecological structure is the set of soil areas which, by virtue of their biophysical or cultural characteristics, their ecological continuity and their order, have as their main function to contribute to the ecological balance and to the protection, conservation and  the enhancement of the environmental, landscape and natural heritage of rural and urban areas."
12	12	"Coimbra, PT"	Law Decree 334/95 Legal Regime of Urban Allotments	1995	MPAT	Law / Decree	Municipal / Local	Land use planning	Indirectly	1	Partially relevant	2	No	-
13	13	"Coimbra, PT"	PROT-Centro - Regional Plan for Land Use Management of the Centre Region	2011	CCDR	"Plan (Land use, protected area,...)"	Multi-level	Land use planning	Indirectly	1	Partially relevant	2	Yes	"ERPVA - It integrates areas with natural values and fundamental systems for environmental protection and enhancement, both from the standpoint of support for natural life and human activities."
14	14	"Coimbra, PT"	Regulation 381/2017 Municipal Regulation of Urbanization and Building (City Taxes and Compensations)	2017	CMC	Norms	Municipal / Local	Land use planning	Indirectly	1	Partially relevant	2	No	
15	15	"Coimbra, PT"	Strategic Plan for the City of Coimbra	2010	CMC	Strategic document	Municipal / Local	Land use planning	Indirectly	1	Strongly relevant	3	No	
